Merchnum,n_low,n_high,R,1/R,U,n,t,U*
991808369338,1,181,0.01,165.15,165.15,181,55.33,165.15
8078200641472,59,1,64.66,0.02,64.66,60,15,64.66
308904389335,1,53,0.02,48.36,48.36,53,12.67,48.36
3523000628102,34,1,37.26,0.03,37.26,34,6.33,37.2
808998385332,1,36,0.03,32.85,32.85,37,7.33,32.83
55158027,27,1,29.59,0.03,29.59,28,4.33,29.22
8916500620062,1,31,0.04,28.28,28.28,31,5.33,28.15
3910694900001,25,1,27.4,0.04,27.4,26,3.67,26.74
8889817332,24,1,26.3,0.04,26.3,25,3.33,25.43
881145544,24,1,26.3,0.04,26.3,24,3,25.1
5600900060992,1,27,0.04,24.64,24.64,28,4.33,24.33
6844000608436,23,1,25.21,0.04,25.21,23,2.67,23.64
5803301245621,21,1,23.02,0.04,23.02,22,2.33,21.07
92891948003,1,24,0.05,21.9,21.9,24,3,20.91
3433000017263,53,3,19.36,0.05,19.36,56,13.67,19.36
467615916337,1,22,0.05,20.07,20.07,22,2.33,18.39
817004638227,19,1,20.82,0.05,20.82,20,1.67,17.67
2376700063599,30,2,16.44,0.06,16.44,32,5.67,16.39
993620816222,1,19,0.06,17.34,17.34,20,1.67,14.74
993620810220,5,76,0.07,13.87,13.87,81,22,13.87
465614140337,1,18,0.06,16.42,16.42,19,1.33,13.21
8999000079657,1,18,0.06,16.42,16.42,19,1.33,13.21
8317600900099,24,2,13.15,0.08,13.15,26,3.67,12.85
5000006000095,253,23,12.06,0.08,12.06,276,87,12.06
9420966064460,1,17,0.06,15.51,15.51,18,1,11.61
5186264200136,1,17,0.06,15.51,15.51,18,1,11.61
600000201284,4,50,0.09,11.41,11.41,54,13,11.41
7080606900600,1,16,0.07,14.6,14.6,17,0.67,9.99
5600000060302,1,16,0.07,14.6,14.6,17,0.67,9.99
6070095870009,26,3,9.5,0.11,9.5,29,4.67,9.42
999960264339,3,28,0.12,8.52,8.52,31,5.33,8.48
555400670006,1,15,0.07,13.69,13.69,16,0.33,8.39
881894855,1,15,0.07,13.69,13.69,16,0.33,8.39
1960400470068,23,3,8.4,0.12,8.4,26,3.67,8.22
993620559229,5,43,0.13,7.85,7.85,48,11,7.85
2644006060269,13,1,14.25,0.07,14.25,14,-0.33,6.53
6000330043193,13,1,14.25,0.07,14.25,14,-0.33,6.53
8124906575841,29,5,6.36,0.16,6.36,34,6.33,6.35
6880098906148,23,157,0.16,6.23,6.23,180,55,6.23
6020094951312,3,21,0.16,6.39,6.39,24,3,6.13