,Variable
1,Merchnum_total_0
2,Merchnum_total_1
3,card_merch_max_30
4,card_merch_max_7
5,card_merch_total_30
6,card_merch_total_7
7,card_state_total_7
8,merch_state_total_0
9,merch_state_total_1
10,card_merch_total_1
11,card_state_total_0
12,Cardnum_total_0
13,Cardnum_max_0
14,card_state_max_0
15,card_merch_max_14
16,card_zip_max_1
17,card_zip_max_3
18,merch_state_max_3
19,card_merch_total_3
20,card_state_total_3
21,card_zip_max_0
22,merch_zip_max_0
23,merch_zip_total_0
24,card_state_avg_1
25,card_state_avg_3
26,card_state_max_14
27,card_state_max_1
28,Merchnum_max_0
29,Merchnum_max_1
30,card_merch_max_3